model,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_weighted_mean,roc_auc_mean
LogisticRegression,0.8465628768857381,0.6291117699665257,0.0664868809523812,0.3882051282051282,0.8712601960462836,0.8375183738712015
AdaBoost,0.8321283214575359,0.6197469352916011,0.05994254462781798,0.3844551282051283,0.8608991717148531,0.8188738034094718
SVM,0.8680274455114873,0.5861550739523105,0.0604618842132744,0.27387820512820515,0.8850888893750509,0.7068429722591034
KNN,0.8794647960664725,0.5575085317598172,0.12138331890829551,0.2008333333333333,0.8928836096227339,0.6546855654101799
RandomForest,0.9307736276496097,0.5189558923700954,0.18416145384337776,0.06272435897435895,0.9199086246510126,0.7931207871672203
